OID_,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11
542,314102,27.694600000000001,6.961100000000000,13.061199999999999,3.894900000000000,79.120000000000005,89.558199999999999,2.864900000000000,5.622500000000000,45.583799999999997,17.140699999999999
543,314103,13.702900000000000,3.347300000000000,13.131300000000000,8.140900000000000,49.509999999999998,68.632099999999994,6.723900000000000,0.000000000000000,69.560699999999997,9.205000000000000
544,314104,23.422200000000000,13.885000000000000,19.892499999999998,11.734700000000000,47.409999999999997,69.805199999999999,26.245200000000001,2.922100000000000,95.091200000000001,3.225800000000000
545,314105,20.576000000000001,23.266400000000001,18.382400000000001,8.811199999999999,60.390000000000001,83.652199999999993,25.418800000000001,2.695700000000000,84.842699999999994,2.349300000000000
546,314106,26.156800000000000,8.962500000000000,10.470100000000000,4.918000000000000,62.799999999999997,73.037499999999994,7.099700000000000,3.299200000000000,37.700899999999997,18.119800000000001
547,314107,13.519399999999999,2.006100000000000,10.707100000000001,2.647700000000000,74.379999999999995,74.862899999999996,5.323900000000000,2.102400000000000,32.664600000000000,20.366299999999999
548,314108,19.150300000000001,4.414200000000000,22.202500000000001,3.824500000000000,62.619999999999997,70.932900000000004,7.887600000000000,2.446000000000000,47.228700000000003,12.379700000000000
549,314109,12.443000000000000,5.144500000000000,13.117100000000001,5.447900000000000,64.659999999999997,66.469600000000000,6.714700000000000,2.418100000000000,36.163200000000003,15.154600000000000
550,314110,16.937200000000001,2.297100000000000,10.034000000000001,1.226400000000000,60.109999999999999,72.722600000000000,4.661700000000000,1.759800000000000,24.594200000000001,21.439599999999999
551,314111,11.887300000000000,1.543800000000000,0.000000000000000,0.961500000000000,52.539999999999999,54.473199999999999,3.581700000000000,1.888700000000000,7.178700000000000,28.174499999999998
552,314112,12.860400000000000,2.837500000000000,4.575200000000000,1.786600000000000,58.899999999999999,55.896200000000000,3.125000000000000,0.000000000000000,7.414200000000000,20.091500000000000
553,314113,6.122400000000000,0.000000000000000,13.725500000000000,6.842900000000000,77.049999999999997,18.181799999999999,0.000000000000000,0.000000000000000,5.102000000000000,22.594700000000000
554,314114,19.413300000000000,1.466800000000000,8.602200000000000,2.997000000000000,72.439999999999998,85.822299999999998,7.702200000000000,3.213600000000000,22.864500000000000,28.559100000000001
555,314201,30.643000000000001,33.036900000000003,36.559100000000001,9.090900000000000,31.989999999999998,91.480999999999995,41.269799999999996,9.436400000000001,100.000000000000000,1.026000000000000
556,314202,32.577599999999997,43.019100000000002,28.515599999999999,15.379200000000001,53.350000000000001,89.112899999999996,47.137400000000000,4.838700000000000,84.785200000000003,6.623000000000000
557,314203,47.083599999999997,45.244399999999999,45.623300000000000,14.835900000000001,52.820000000000000,89.969600000000000,46.448700000000002,17.629200000000001,83.289500000000004,3.625900000000000
558,314204,33.597900000000003,28.968299999999999,49.147700000000000,12.362900000000000,57.250000000000000,96.442700000000002,27.799199999999999,1.185800000000000,75.661400000000000,10.714300000000000
559,314205,36.024799999999999,39.032400000000003,39.588999999999999,12.557000000000000,46.039999999999999,88.333299999999994,39.989800000000002,8.750000000000000,100.000000000000000,1.405700000000000
560,314206,37.258499999999998,45.430900000000001,34.426200000000001,9.431100000000001,44.439999999999998,87.052800000000005,38.769399999999997,10.817700000000000,99.591399999999993,1.225900000000000
561,314207,28.900400000000001,37.314399999999999,21.553200000000000,10.614100000000001,42.899999999999999,72.376400000000004,41.295000000000002,7.237600000000000,99.526600000000002,1.700100000000000
562,314208,41.030299999999997,44.848700000000001,35.082500000000003,12.145099999999999,48.710000000000001,80.056399999999996,48.295099999999998,11.382899999999999,99.567700000000002,0.396300000000000
563,314209,27.295200000000001,41.525399999999998,27.699500000000000,10.377400000000000,53.070000000000000,74.884200000000007,48.339700000000001,5.746100000000000,98.093199999999996,1.306500000000000
564,314210,38.401400000000002,40.504800000000003,30.666699999999999,12.006300000000000,64.950000000000003,89.020300000000006,60.505000000000003,12.162200000000000,98.197100000000006,0.240400000000000
565,314211,49.428100000000001,54.184199999999997,50.656199999999998,19.639600000000002,48.289999999999999,91.139200000000002,49.562399999999997,11.867100000000001,100.000000000000000,2.348000000000000
566,314212,33.102600000000002,34.675899999999999,21.671800000000001,8.293799999999999,39.259999999999998,65.984300000000005,39.575299999999999,7.401600000000000,99.055999999999997,2.517300000000000
567,314301,25.009699999999999,21.206000000000000,34.441200000000002,6.589200000000000,56.789999999999999,86.074200000000005,22.853800000000000,3.332700000000000,97.851299999999995,1.664700000000000
568,314302,24.087700000000002,23.278800000000000,40.814799999999998,9.707599999999999,49.289999999999999,83.998400000000004,28.503399999999999,4.938800000000000,96.782300000000006,2.552600000000000
569,314303,55.477699999999999,50.313499999999998,50.315500000000000,18.868900000000000,47.369999999999997,85.056299999999993,35.194299999999998,6.448300000000000,99.631100000000004,0.442600000000000
570,314304,29.581800000000001,31.211600000000001,21.638900000000000,11.975600000000000,45.789999999999999,62.918199999999999,38.946300000000001,11.338300000000000,98.031999999999996,1.845000000000000
571,314305,41.133200000000002,32.277500000000003,44.263800000000003,12.372100000000000,57.240000000000002,87.487700000000004,36.572200000000002,5.642800000000000,99.754599999999996,0.847700000000000
572,314306,26.644600000000001,27.401800000000001,36.518000000000001,10.821600000000000,50.640000000000001,67.297300000000007,20.344799999999999,10.270300000000001,94.652199999999993,2.697600000000000
573,314307,21.996099999999998,14.598800000000001,30.632100000000001,9.704900000000000,60.140000000000001,87.489500000000007,26.044100000000000,5.877400000000000,90.567499999999995,7.710300000000000
574,314308,25.629200000000001,24.756000000000000,20.465100000000000,6.841400000000000,32.490000000000002,61.528199999999998,27.243600000000001,5.227900000000000,98.099599999999995,4.930700000000000
575,314309,19.220600000000001,14.060000000000000,15.384600000000001,6.040700000000000,38.409999999999997,60.781799999999997,22.850300000000001,1.261000000000000,98.314899999999994,1.948400000000000
576,314310,22.823300000000000,30.600200000000001,22.178999999999998,6.846200000000000,42.829999999999998,52.134099999999997,30.647300000000001,14.939000000000000,100.000000000000000,0.000000000000000
577,314311,16.759499999999999,23.917700000000000,28.927000000000000,11.671600000000000,37.729999999999997,66.878299999999996,27.403400000000001,4.021200000000000,97.535399999999996,2.078900000000000
578,314312,16.109700000000000,30.287199999999999,16.934600000000000,10.931800000000001,32.329999999999998,27.347600000000000,28.507300000000001,5.436600000000000,98.668400000000005,2.715400000000000
579,314313,33.572299999999998,28.311800000000002,36.897500000000001,11.728700000000000,50.780000000000001,85.278000000000006,31.258900000000001,10.429300000000000,98.586399999999998,3.019000000000000
580,314314,19.692000000000000,17.940400000000000,32.886699999999998,7.771300000000000,49.170000000000002,79.478099999999998,21.537199999999999,7.473300000000000,94.787400000000005,3.630400000000000
581,314401,20.612200000000001,19.126999999999999,31.158799999999999,8.503299999999999,44.920000000000002,84.882199999999997,29.902200000000001,5.976200000000000,98.968299999999999,2.868500000000000
582,314402,12.902900000000001,13.984299999999999,17.792400000000001,5.424100000000000,33.780000000000001,70.778899999999993,23.803599999999999,2.436900000000000,98.215199999999996,0.797900000000000
583,314403,12.030500000000000,9.178500000000000,11.102600000000001,8.002800000000001,24.829999999999998,40.146700000000003,21.839700000000001,1.054100000000000,99.236800000000002,1.104600000000000
584,314404,12.934100000000001,20.766500000000001,11.100500000000000,8.305899999999999,32.280000000000001,31.683800000000002,28.963799999999999,3.505200000000000,98.179599999999994,1.820400000000000
585,314406,7.769000000000000,19.895000000000000,9.683800000000000,9.061900000000000,23.090000000000000,7.339400000000000,28.100400000000000,4.893000000000000,99.265100000000004,3.359600000000000
586,314407,11.045800000000000,21.092800000000000,10.278400000000000,6.527800000000000,22.730000000000000,29.291300000000000,23.215800000000002,0.629900000000000,99.647499999999994,1.880100000000000
587,314408,18.743900000000000,16.163599999999999,31.491700000000002,10.439200000000000,34.759999999999998,61.719700000000003,34.096100000000000,4.004700000000000,98.977599999999995,0.827700000000000
588,314409,13.125200000000000,21.304200000000002,16.888900000000000,10.758100000000001,29.789999999999999,39.881500000000003,34.217300000000002,7.112600000000000,98.452600000000004,3.758000000000000
589,314501,29.166699999999999,19.021699999999999,43.165500000000002,9.761900000000001,28.660000000000000,58.078600000000002,41.823900000000002,1.746700000000000,100.000000000000000,1.630400000000000
590,314502,15.557800000000000,15.139300000000000,11.054399999999999,8.215199999999999,20.680000000000000,17.581399999999999,20.614799999999999,5.979500000000000,98.730000000000004,0.230900000000000
591,314503,7.848700000000000,15.390100000000000,15.025900000000000,7.171800000000000,25.050000000000001,30.182300000000001,22.526299999999999,5.199200000000000,99.148899999999998,1.394800000000000
592,314601,24.653900000000000,26.807300000000001,27.255600000000001,11.354600000000000,46.840000000000003,54.878000000000000,43.098199999999999,10.718900000000000,56.119500000000002,45.682299999999998
593,314602,33.452199999999998,25.143999999999998,25.830300000000001,15.877000000000001,37.899999999999999,65.925899999999999,56.934699999999999,17.685199999999998,17.960000000000001,97.587000000000003
594,314603,25.558599999999998,32.567500000000003,24.675899999999999,12.638299999999999,40.340000000000003,50.548299999999998,39.947099999999999,15.281200000000000,67.970100000000002,36.572499999999998
595,314604,11.541900000000000,19.696999999999999,17.422200000000000,8.596200000000000,29.410000000000000,44.369100000000003,25.118500000000001,5.427400000000000,93.917100000000005,6.595300000000000
596,314605,14.589600000000001,20.711800000000000,10.888400000000001,8.596700000000000,25.870000000000001,38.093299999999999,17.588400000000000,4.056800000000000,97.682000000000002,1.022600000000000
597,314606,26.037700000000001,26.792500000000000,30.000000000000000,6.325600000000000,41.899999999999999,55.819499999999998,40.649400000000000,10.451300000000000,62.452800000000003,56.415100000000002
598,314607,34.972099999999998,17.742999999999999,28.714900000000000,15.039400000000001,47.439999999999998,76.311599999999999,67.668800000000005,22.178100000000001,27.262599999999999,105.072999999999993
599,314608,35.902900000000002,44.984200000000001,28.260899999999999,14.439299999999999,38.560000000000002,69.403000000000006,60.737499999999997,19.402999999999999,61.140400000000000,49.419199999999996
600,314609,33.496699999999997,26.797400000000000,16.666699999999999,14.337100000000000,42.759999999999998,74.777400000000000,60.963500000000003,17.062300000000000,12.949299999999999,116.994000000000000
601,314610,38.878999999999998,27.847300000000001,24.931500000000000,5.197800000000000,40.009999999999998,89.525000000000006,68.189700000000002,5.724700000000000,51.878399999999999,60.584400000000002
602,314701,21.335300000000000,35.558799999999998,21.989500000000000,13.298100000000000,30.109999999999999,35.031199999999998,33.504399999999997,8.939700000000000,98.345399999999998,3.047900000000000
603,314801,5.364700000000000,15.708200000000000,11.580399999999999,8.314000000000000,17.930000000000000,15.367500000000000,21.570799999999998,3.118000000000000,98.301800000000000,0.579000000000000
604,314802,7.747900000000000,11.490500000000001,12.860300000000001,7.381500000000000,31.100000000000001,45.161299999999997,13.883800000000001,1.290300000000000,100.000000000000000,0.000000000000000
605,314803,5.455500000000000,8.347000000000000,10.322600000000000,9.185100000000000,35.170000000000002,35.067100000000003,21.134000000000000,8.053699999999999,97.326800000000006,4.364400000000000
606,314804,7.766100000000000,15.412300000000000,9.328700000000000,7.527600000000000,27.359999999999999,11.328400000000000,15.629899999999999,3.260000000000000,95.537499999999994,5.661400000000000
607,314805,10.177500000000000,17.104299999999999,14.685300000000000,7.456900000000000,30.899999999999999,24.715399999999999,25.699700000000000,8.617900000000001,78.844700000000003,24.056000000000001
608,314901,24.522300000000001,26.751600000000000,39.189200000000000,18.105300000000000,41.750000000000000,79.512200000000007,53.453499999999998,4.390200000000000,100.000000000000000,0.000000000000000
609,314902,26.453199999999999,37.994900000000001,20.085000000000001,13.415500000000000,30.180000000000000,76.641199999999998,30.779299999999999,5.038200000000000,99.719200000000001,1.544500000000000
610,314903,9.848500000000000,9.343400000000001,12.482100000000001,6.954000000000000,18.050000000000001,13.483100000000000,18.152000000000001,0.000000000000000,99.494900000000001,1.851900000000000
611,314904,17.610099999999999,22.877400000000002,22.287400000000002,12.242800000000001,22.850000000000001,29.278400000000001,29.506300000000000,0.000000000000000,99.213800000000006,1.729500000000000
612,314905,13.508400000000000,23.532200000000000,12.477399999999999,5.628200000000000,16.059999999999999,14.572900000000001,24.875000000000000,2.763800000000000,99.236300000000000,0.286400000000000
613,314906,9.002700000000001,21.886800000000001,12.711900000000000,11.749700000000001,27.030000000000001,11.340199999999999,32.396599999999999,9.106500000000000,100.000000000000000,0.000000000000000
614,314907,13.596800000000000,28.168600000000001,4.388000000000000,10.792299999999999,23.680000000000000,11.370300000000000,38.181100000000001,9.329400000000000,99.868200000000002,0.342600000000000
615,314908,11.702600000000000,18.857800000000001,11.806200000000000,10.252300000000000,24.460000000000001,19.641600000000000,28.844300000000000,8.890400000000000,96.487099999999998,0.323300000000000
616,314909,15.679500000000001,24.893300000000000,16.255600000000001,11.166499999999999,30.820000000000000,41.491399999999999,27.719799999999999,5.943400000000000,98.897199999999998,0.755900000000000
617,314910,24.763400000000001,36.737600000000000,23.354700000000001,16.813700000000001,25.280000000000001,33.212200000000003,41.083199999999998,10.534500000000000,98.435900000000004,0.341700000000000
618,314911,7.016600000000000,17.601099999999999,7.647900000000000,6.437100000000000,20.180000000000000,11.055600000000000,31.355300000000000,4.622100000000000,99.337400000000002,0.390800000000000
619,314912,11.087300000000001,19.714800000000000,10.995500000000000,8.257300000000001,26.690000000000001,12.282999999999999,23.386099999999999,4.806400000000000,99.786100000000005,0.285200000000000
620,314913,38.088799999999999,39.238199999999999,24.200399999999998,13.385600000000000,38.859999999999999,44.845399999999998,40.943600000000004,13.573900000000000,98.895700000000005,1.555100000000000
621,314914,32.043799999999997,35.982300000000002,33.000000000000000,9.751200000000001,50.689999999999998,71.112700000000004,32.144399999999997,9.948399999999999,98.158900000000003,3.728700000000000
622,315001,9.162400000000000,16.752800000000001,15.513299999999999,8.322600000000000,24.699999999999999,43.465200000000003,25.776800000000001,6.774600000000000,98.179900000000004,2.647400000000000
623,315002,37.311300000000003,30.841100000000001,41.195500000000003,11.135000000000000,40.200000000000003,53.154200000000003,40.176800000000000,10.046700000000000,92.091999999999999,9.130200000000000
624,315003,15.112900000000000,10.943800000000000,8.215999999999999,4.786100000000000,37.579999999999998,49.453200000000002,37.656300000000002,7.047400000000000,3.358400000000000,55.471899999999998
625,315101,16.417500000000000,12.392200000000001,12.733599999999999,6.866800000000000,28.000000000000000,34.601799999999997,48.751700000000000,9.380500000000000,0.603800000000000,86.515199999999993
626,315102,13.485900000000001,25.787299999999998,26.310400000000001,7.886100000000000,34.719999999999999,12.396699999999999,32.792600000000000,8.448100000000000,76.985200000000006,18.331099999999999
627,315103,11.895300000000001,16.891400000000001,22.333300000000001,9.109900000000000,22.680000000000000,15.066500000000000,23.580400000000001,6.794700000000000,98.873900000000006,1.728700000000000
628,315104,0.000000000000000,0.000000000000000,24.324300000000001,9.183700000000000,0.000000000000000,29.166699999999999,16.250000000000000,0.000000000000000,0.000000000000000,38.260899999999999
629,315105,34.572699999999998,28.850800000000000,27.777799999999999,10.231700000000000,34.539999999999999,60.048600000000000,54.803600000000003,17.585100000000001,32.641199999999998,74.529200000000003
630,315201,21.909199999999998,12.571700000000000,9.090900000000000,8.531599999999999,42.710000000000001,47.768599999999999,57.846200000000003,14.545500000000001,0.000000000000000,103.703999999999994
