"Origin ID","Destination ID","Duration","Distance","Origin snap distance","Destination snap distance"
71,1,3.9189,3869.9656,200.3368,502.6552
71,2,8.5612,9095.2674,200.3368,80.7594
71,3,29.5415,33432.6216,200.3368,87.6054
71,4,8.9473,12911.9235,200.3368,161.5849
71,5,1.5431,1448.6675,200.3368,159.266
72,1,4.6996,4878.7832,219.275,502.6552
72,2,7.9756,7491.6191,219.275,80.7594
72,3,28.8857,31828.9733,219.275,87.6054
72,4,9.7281,13644.8626,219.275,161.5849
72,5,2.3239,2181.6065,219.275,159.266
73,1,5.5414,8046.3849,223.5325,502.6552
73,2,5.4575,5127.6582,223.5325,80.7594
73,3,26.3676,29465.0124,223.5325,87.6054
73,4,9.2976,15105.1939,223.5325,161.5849
73,5,4.3065,5540.8817,223.5325,159.266
74,1,6.302,6528.6949,898.9126,502.6552
74,2,6.2181,5841.7074,898.9126,80.7594
74,3,27.1282,30179.0616,898.9126,87.6054
74,4,10.0582,15294.7742,898.9126,161.5849
74,5,4.0814,3831.5182,898.9126,159.266
75,1,5.1527,8202.471,568.3546,502.6552
75,2,3.1003,2910.4931,568.3546,80.7594
75,3,24.7541,27763.1949,568.3546,87.6054
75,4,8.9089,15261.2799,568.3546,161.5849
75,5,3.9178,6100.4484,568.3546,159.266
76,1,4.4631,7271.2645,26.0276,502.6552
76,2,3.7898,3841.6995,26.0276,80.7594
76,3,24.7702,28573.6171,26.0276,87.6054
76,4,8.2193,14330.0734,26.0276,161.5849
76,5,3.2282,5169.2419,26.0276,159.266
77,1,10.8995,13607.041,31.0075,502.6552
77,2,7.9467,8033.5719,31.0075,80.7594
77,3,26.8562,30176.9828,31.0075,87.6054
77,4,14.6558,20757.3221,31.0075,161.5849
77,5,9.6646,11515.3534,31.0075,159.266
78,1,7.65,11342.7733,460.5665,502.6552
78,2,6.2489,5866.3709,460.5665,80.7594
78,3,25.2031,28392.9923,460.5665,87.6054
78,4,11.4063,18401.5823,460.5665,161.5849
78,5,6.4151,9240.7507,460.5665,159.266
79,1,8.6114,11550.4554,20.5102,502.6552
79,2,7.2103,6768.8947,20.5102,80.7594
79,3,26.2349,29295.516,20.5102,87.6054
79,4,12.3676,18609.2643,20.5102,161.5849
79,5,7.3765,9367.2957,20.5102,159.266
80,1,6.7737,10520.125,622.509,502.6552
80,2,5.3726,5043.7226,622.509,80.7594
80,3,24.3972,27570.3439,622.509,87.6054
80,4,10.53,17578.9339,622.509,161.5849
80,5,5.5388,8418.1024,622.509,159.266
81,1,14.1541,20044.2779,662.0635,502.6552
81,2,7.9007,9396.3456,662.0635,80.7594
81,3,19.1703,18886.2424,662.0635,87.6054
81,4,17.3326,23052.7165,662.0635,161.5849
81,5,12.9192,17942.2553,662.0635,159.266
82,1,16.3514,23662.0617,4086.1129,502.6552
82,2,10.0979,13014.1294,4086.1129,80.7594
82,3,15.0582,14189.7144,4086.1129,87.6054
82,4,19.5299,26670.5003,4086.1129,161.5849
82,5,15.1165,21560.0391,4086.1129,159.266
83,1,15.4079,22694.086,332.9439,502.6552
83,2,9.1545,12217.9659,332.9439,80.7594
83,3,14.3645,13485.1342,332.9439,87.6054
83,4,18.5864,25219.2933,332.9439,161.5849
83,5,14.1731,20763.8756,332.9439,159.266
84,1,14.6174,21843.5433,110.6643,502.6552
84,2,8.3639,11195.611,110.6643,80.7594
84,3,15.4108,14787.2234,110.6643,87.6054
84,4,17.7959,24796.9285,110.6643,161.5849
84,5,13.3825,19741.5207,110.6643,159.266
85,1,15.8426,23102.1363,236.6944,502.6552
85,2,9.5892,12565.72,236.6944,80.7594
85,3,14.7991,13893.1845,236.6944,87.6054
85,4,19.0211,25627.3435,236.6944,161.5849
85,5,14.6077,21111.6297,236.6944,159.266
86,1,15.0151,20904.3784,27.036,502.6552
86,2,8.7616,10256.4461,27.036,80.7594
86,3,16.1356,15699.2735,27.036,87.6054
86,4,18.1936,23912.817,27.036,161.5849
86,5,13.7802,18802.3558,27.036,159.266
87,1,14.8701,20641.5849,304.2374,502.6552
87,2,8.6166,9993.6526,304.2374,80.7594
87,3,16.1947,15203.2966,304.2374,87.6054
87,4,18.0486,23650.0235,304.2374,161.5849
87,5,13.6352,18539.5623,304.2374,159.266
88,1,13.286,19978.3585,14.6604,502.6552
88,2,7.0326,9757.6712,14.6604,80.7594
88,3,15.9599,15744.5235,14.6604,87.6054
88,4,16.4645,22503.5658,14.6604,161.5849
88,5,12.0512,18424.3652,14.6604,159.266
89,1,13.7294,20751.3716,634.3863,502.6552
89,2,7.476,10530.6843,634.3863,80.7594
89,3,15.5165,14971.5104,634.3863,87.6054
89,4,16.9079,23276.5788,634.3863,161.5849
89,5,12.4945,19197.3782,634.3863,159.266
90,1,19.4726,23148.2178,481.1245,502.6552
90,2,13.2191,13250.3748,481.1245,80.7594
90,3,14.9456,14030.704,481.1245,87.6054
90,4,21.1402,25673.425,481.1245,161.5849
90,5,18.2377,21729.9019,481.1245,159.266
91,1,20.4783,22154.6794,876.2485,502.6552
91,2,14.2248,14194.5127,876.2485,80.7594
91,3,17.3615,16298.6594,876.2485,87.6054
91,4,20.6994,24679.8866,876.2485,161.5849
91,5,19.2434,20968.9621,876.2485,159.266
92,1,16.3188,18352.2236,683.1913,502.6552
92,2,10.0654,10289.7157,683.1913,80.7594
92,3,19.9758,19126.2004,683.1913,87.6054
92,4,16.649,20877.4308,683.1913,161.5849
92,5,15.084,17166.5063,683.1913,159.266
93,1,22.4598,25952.5677,1000.12,502.6552
93,2,16.2063,16054.7247,1000.12,80.7594
93,3,12.6644,11889.1394,1000.12,87.6054
93,4,24.1274,28477.775,1000.12,161.5849
93,5,21.2249,24534.2518,1000.12,159.266
94,1,20.2711,21960.1985,702.4967,502.6552
94,2,14.0177,14000.0319,702.4967,80.7594
94,3,17.5686,16493.1402,702.4967,87.6054
94,4,20.4922,24485.4058,702.4967,161.5849
94,5,19.0362,20774.4812,702.4967,159.266
95,1,23.0608,26516.7667,921.89,502.6552
95,2,16.8073,16618.9237,921.89,80.7594
95,3,13.2654,12453.3383,921.89,87.6054
95,4,24.7284,29041.9739,921.89,161.5849
95,5,21.8259,25098.4508,921.89,159.266
96,1,13.2779,19383.1811,201.698,502.6552
96,2,7.0244,9398.7079,201.698,80.7594
96,3,16.8266,16910.2544,201.698,87.6054
96,4,16.4564,21908.3883,201.698,161.5849
96,5,12.043,17964.8652,201.698,159.266
97,1,14.1342,20407.6694,120.6681,502.6552
97,2,7.8807,9834.2717,120.6681,80.7594
97,3,17.2935,16306.9192,120.6681,87.6054
97,4,17.3127,22932.8766,120.6681,161.5849
97,5,12.8993,18380.1814,120.6681,159.266
98,1,13.7137,19333.6673,123.7188,502.6552
98,2,7.4603,8685.735,123.7188,80.7594
98,3,17.351,16511.2143,123.7188,87.6054
98,4,16.8922,22342.1059,123.7188,161.5849
98,5,12.4789,17231.6447,123.7188,159.266
99,1,12.2444,18163.0142,97.7859,502.6552
99,2,5.991,7942.3268,97.7859,80.7594
99,3,16.9889,17510.0552,97.7859,87.6054
99,4,15.4229,20688.2214,97.7859,161.5849
99,5,11.0095,16609.0208,97.7859,159.266
100,1,13.2177,18734.9011,118.8054,502.6552
100,2,6.9642,8086.9688,118.8054,80.7594
100,3,17.8471,17109.9804,118.8054,87.6054
100,4,16.3962,21743.3397,118.8054,161.5849
100,5,11.9828,16632.8785,118.8054,159.266
101,1,14.0397,15932.3784,351.686,502.6552
101,2,9.4091,9008.4177,351.686,80.7594
101,3,20.8531,21670.8997,351.686,87.6054
101,4,13.9383,18457.5856,351.686,161.5849
101,5,12.8048,14746.6611,351.686,159.266
102,1,15.0525,18756.6149,272.0338,502.6552
102,2,8.799,9100.845,272.0338,80.7594
102,3,19.2757,18954.904,272.0338,87.6054
102,4,16.72,21281.8221,272.0338,161.5849
102,5,13.8176,17570.8976,272.0338,159.266
103,1,15.5886,18253.3027,267.4903,502.6552
103,2,9.3352,9604.1572,267.4903,80.7594
103,3,19.8118,19458.2162,267.4903,87.6054
103,4,16.5436,20778.5099,267.4903,161.5849
103,5,14.3537,17067.5854,267.4903,159.266
104,1,13.6928,17722.2357,443.0451,502.6552
104,2,7.4393,7824.3927,443.0451,80.7594
104,3,18.5959,18316.7296,443.0451,87.6054
104,4,15.3604,20247.4429,443.0451,161.5849
104,5,12.4579,16303.9198,443.0451,159.266
105,1,13.5656,15910.357,284.0079,502.6552
105,2,7.3121,7916.5361,284.0079,80.7594
105,3,18.7561,19762.7124,284.0079,87.6054
105,4,13.6557,18435.5642,284.0079,161.5849
105,5,12.3307,14724.6397,284.0079,159.266
106,1,15.1121,16194.2982,868.2339,502.6552
106,2,11.0508,10374.2774,868.2339,80.7594
106,3,22.8313,22059.7141,868.2339,87.6054
106,4,15.0107,18180.9374,868.2339,161.5849
106,5,13.8772,15008.5809,868.2339,159.266
107,1,14.0136,14515.4833,730.7092,502.6552
107,2,10.849,10184.8775,730.7092,80.7594
107,3,27.2776,28594.5239,730.7092,87.6054
107,4,11.6142,12500.4313,730.7092,161.5849
107,5,12.7787,13329.766,730.7092,159.266
108,1,14.7053,16557.2799,204.7124,502.6552
108,2,10.0748,9633.3192,204.7124,80.7594
108,3,21.5187,21045.9982,204.7124,87.6054
108,4,14.604,19082.4871,204.7124,161.5849
108,5,13.4704,15371.5626,204.7124,159.266
109,1,15.6199,16671.0477,351.4811,502.6552
109,2,11.0206,10851.0269,351.4811,80.7594
109,3,21.4973,20807.3763,351.4811,87.6054
109,4,15.5186,19196.2549,351.4811,161.5849
109,5,14.385,15485.3304,351.4811,159.266
110,1,13.9425,15096.3119,312.1358,502.6552
